Method,Numeric Root,Closest Root,Iterations,Difference,Status
Bisection,0.363177127670,0.363177127637,31,0.000000000033459,Valid
Regula Falsi,0.363177127512,0.363177127637,44,0.000000000125295,Valid
Secant,0.363177127637,0.363177127637,8,0.000000000000013,Valid
Fixed-Point,0.363177127691,0.363177127637,40,0.000000000053631,Valid
Aitken,0.363177127637,0.363177127637,4,0.000000000000000,Valid
Steffensen,0.363177127637,0.363177127637,4,0.000000000000000,Valid
Newton,0.363177127637,0.363177127637,5,0.000000000000000,Valid
