iterasi,a,b,c,f(c)
1,0.000000000000,1.000000000000,0.136184214348,0.107870981855
2,0.136184214348,1.000000000000,0.220256274711,0.073862041506
3,0.220256274711,1.000000000000,0.273864812328,0.049115034755
4,0.273864812328,1.000000000000,0.307844046389,0.031739912899
5,0.307844046389,1.000000000000,0.329127442517,0.020073364605
6,0.329127442517,1.000000000000,0.342323007588,0.012508696621
7,0.342323007588,1.000000000000,0.350444271933,0.007720067309
8,0.350444271933,1.000000000000,0.355418140856,0.004735675624
9,0.355418140856,1.000000000000,0.358454857980,0.002893968289
10,0.358454857980,1.000000000000,0.360305241411,0.001764366414
11,0.360305241411,1.000000000000,0.361431379184,0.001074139104
12,0.361431379184,1.000000000000,0.362116232005,0.000653358569
13,0.362116232005,1.000000000000,0.362532530451,0.000397201286
14,0.362532530451,1.000000000000,0.362785513520,0.000241395118
15,0.362785513520,1.000000000000,0.362939224368,0.000146676465
16,0.362939224368,1.000000000000,0.363032608439,0.000089112818
17,0.363032608439,1.000000000000,0.363089338581,0.000054136253
18,0.363089338581,1.000000000000,0.363123800415,0.000032886445
19,0.363123800415,1.000000000000,0.363144734445,0.000019977170
20,0.363144734445,1.000000000000,0.363157450758,0.000012135114
21,0.363157450758,1.000000000000,0.363165175177,0.000007371391
22,0.363165175177,1.000000000000,0.363169867288,0.000004477674
23,0.363169867288,1.000000000000,0.363172717448,0.000002719905
24,0.363172717448,1.000000000000,0.363174448736,0.000001652168
25,0.363174448736,1.000000000000,0.363175500381,0.000001003585
26,0.363175500381,1.000000000000,0.363176139187,0.000000609612
27,0.363176139187,1.000000000000,0.363176527219,0.000000370299
28,0.363176527219,1.000000000000,0.363176762923,0.000000224932
29,0.363176762923,1.000000000000,0.363176906097,0.000000136631
30,0.363176906097,1.000000000000,0.363176993066,0.000000082995
31,0.363176993066,1.000000000000,0.363177045894,0.000000050414
32,0.363177045894,1.000000000000,0.363177077984,0.000000030623
33,0.363177077984,1.000000000000,0.363177097476,0.000000018601
34,0.363177097476,1.000000000000,0.363177109316,0.000000011299
35,0.363177109316,1.000000000000,0.363177116508,0.000000006863
36,0.363177116508,1.000000000000,0.363177120877,0.000000004169
37,0.363177120877,1.000000000000,0.363177123531,0.000000002532
38,0.363177123531,1.000000000000,0.363177125143,0.000000001538
39,0.363177125143,1.000000000000,0.363177126122,0.000000000934
40,0.363177126122,1.000000000000,0.363177126717,0.000000000568
41,0.363177126717,1.000000000000,0.363177127078,0.000000000345
42,0.363177127078,1.000000000000,0.363177127297,0.000000000209
43,0.363177127297,1.000000000000,0.363177127431,0.000000000127
44,0.363177127431,1.000000000000,0.363177127512,0.000000000077
