iterasi,x_n,x_next,error,f(x_n)
1,0.500000000000,0.525923015820,0.025923015820,0.015521058393
2,0.525923015820,0.587477247532,0.061554231712,0.035282120628
3,0.587477247532,0.733011225590,0.145533978058,0.075267444626
4,0.733011225590,1.073669576524,0.340658350934,0.138707908032
5,1.073669576524,1.853362834961,0.779693258437,0.185042836285
6,1.853362834961,3.561146513654,1.707783678693,0.128303053851
7,3.561146513654,7.094282765284,3.533136251630,0.027576402145
8,7.094282765284,14.187736038938,7.093453273655,0.000829146554
9,14.187736038938,28.375471388678,14.187735349740,0.000000689198
10,28.375471388678,56.750942777356,28.375471388678,0.000000000000
