iterasi,x,g(x),g(g(x)),x_next,error,f(x_next)
1,1.000000000000,1.686738312482,3.203630605407,0.431901164193,0.568098835807,-0.045987838210
2,0.431901164193,0.363467413189,0.199097889057,0.480716930450,0.048815766256,-0.000423062236
3,0.480716930450,0.480032974010,0.478403677880,0.481211775231,0.000494844782,-0.000000042558
4,0.481211775231,0.481211706370,0.481211542345,0.481211825060,0.000000049828,-0.000000000000
