iterasi,x_n,f(x_n),f'(x_n),error
1,0.500000000000,0.015521058393,0.798618703076,0.019434879665
2,0.480565120335,-0.000552986717,0.856066197854,0.000645962565
3,0.481211082900,-0.000000633881,0.854104218292,0.000000742159
4,0.481211825059,-0.000000000001,0.854101966253,0.000000000001
