iterasi,x0,x1,x2,f(x2)
1,0.000000000000,1.000000000000,0.333333333333,-0.985825331504
2,1.000000000000,0.333333333333,0.553445635528,-0.833871233182
3,0.333333333333,0.553445635528,1.761345382203,59.682407405916
4,0.553445635528,1.761345382203,0.570089634035,-0.808221016743
5,1.761345382203,0.570089634035,0.586006114936,-0.780840389394
6,0.570089634035,0.586006114936,1.039912118850,2.650354121713
7,0.586006114936,1.039912118850,0.689301961236,-0.518137286873
8,1.039912118850,0.689301961236,0.746636563856,-0.289011803012
9,0.689301961236,0.746636563856,0.818956659373,0.117236272817
10,0.746636563856,0.818956659373,0.798086312034,-0.015461372036
11,0.818956659373,0.798086312034,0.800518037217,-0.000691394092
12,0.798086312034,0.800518037217,0.800631868154,0.000004363384
13,0.800518037217,0.800631868154,0.800631154273,-0.000000001220
14,0.800631868154,0.800631154273,0.800631154473,-0.000000000000
