iterasi,a,b,c,f(c)
1,0.000000000000,1.000000000000,0.333333333333,-0.985825331504
2,0.333333333333,1.000000000000,0.553445635528,-0.833871233182
3,0.553445635528,1.000000000000,0.684844985726,-0.533095353117
4,0.684844985726,1.000000000000,0.751170034807,-0.267707481658
5,0.751170034807,1.000000000000,0.780544918420,-0.116864507572
6,0.780544918420,1.000000000000,0.792660247460,-0.047783099322
7,0.792660247460,1.000000000000,0.797498326255,-0.019006091070
8,0.797498326255,1.000000000000,0.799404593537,-0.007476372385
9,0.799404593537,1.000000000000,0.800151663828,-0.002928085241
10,0.800151663828,1.000000000000,0.800443822577,-0.001144798043
11,0.800443822577,1.000000000000,0.800557982992,-0.000447282105
12,0.800557982992,1.000000000000,0.800602576442,-0.000174710837
13,0.800602576442,1.000000000000,0.800619993366,-0.000068235992
14,0.800619993366,1.000000000000,0.800626795580,-0.000026649541
15,0.800626795580,1.000000000000,0.800629452147,-0.000010407805
16,0.800629452147,1.000000000000,0.800630489646,-0.000004064675
17,0.800630489646,1.000000000000,0.800630894831,-0.000001587419
18,0.800630894831,1.000000000000,0.800631053072,-0.000000619950
19,0.800631053072,1.000000000000,0.800631114872,-0.000000242115
20,0.800631114872,1.000000000000,0.800631139007,-0.000000094556
21,0.800631139007,1.000000000000,0.800631148433,-0.000000036928
22,0.800631148433,1.000000000000,0.800631152114,-0.000000014422
23,0.800631152114,1.000000000000,0.800631153551,-0.000000005632
24,0.800631153551,1.000000000000,0.800631154113,-0.000000002200
25,0.800631154113,1.000000000000,0.800631154332,-0.000000000859
26,0.800631154332,1.000000000000,0.800631154418,-0.000000000335
27,0.800631154418,1.000000000000,0.800631154451,-0.000000000131
28,0.800631154451,1.000000000000,0.800631154464,-0.000000000051
