iterasi,a,b,c,f(c)
1,2.500000000000,3.000000000000,2.750000000000,0.025757925710
2,2.750000000000,3.000000000000,2.875000000000,-0.375259411925
3,2.750000000000,2.875000000000,2.812500000000,-0.171923555129
4,2.750000000000,2.812500000000,2.781250000000,-0.071568545246
5,2.750000000000,2.781250000000,2.765625000000,-0.022433362339
6,2.750000000000,2.765625000000,2.757812500000,0.001791340636
7,2.757812500000,2.765625000000,2.761718750000,-0.010290101011
8,2.757812500000,2.761718750000,2.759765625000,-0.004241481487
9,2.757812500000,2.759765625000,2.758789062500,-0.001223074508
10,2.757812500000,2.758789062500,2.758300781250,0.000284634688
11,2.758300781250,2.758789062500,2.758544921875,-0.000469094834
12,2.758300781250,2.758544921875,2.758422851562,-0.000092198762
13,2.758300781250,2.758422851562,2.758361816406,0.000096225796
14,2.758361816406,2.758422851562,2.758392333984,0.000002015474
15,2.758392333984,2.758422851562,2.758407592773,-0.000045091155
16,2.758392333984,2.758407592773,2.758399963379,-0.000021537718
17,2.758392333984,2.758399963379,2.758396148682,-0.000009761091
18,2.758392333984,2.758396148682,2.758394241333,-0.000003872801
19,2.758392333984,2.758394241333,2.758393287659,-0.000000928662
20,2.758392333984,2.758393287659,2.758392810822,0.000000543407
21,2.758392810822,2.758393287659,2.758393049240,-0.000000192627
22,2.758392810822,2.758393049240,2.758392930031,0.000000175390
23,2.758392930031,2.758393049240,2.758392989635,-0.000000008619
24,2.758392930031,2.758392989635,2.758392959833,0.000000083386
25,2.758392959833,2.758392989635,2.758392974734,0.000000037383
26,2.758392974734,2.758392989635,2.758392982185,0.000000014382
27,2.758392982185,2.758392989635,2.758392985910,0.000000002882
28,2.758392985910,2.758392989635,2.758392987773,-0.000000002868
29,2.758392985910,2.758392987773,2.758392986841,0.000000000007
