iterasi,x_n,f(x_n),f'(x_n),error
1,2.750000000000,0.025757925710,-3.050290880542,0.008444416194
2,2.758444416194,-0.000158775715,-3.087366848212,0.000051427551
3,2.758392988644,-0.000000005557,-3.087150719566,0.000000001800
4,2.758392986844,-0.000000000000,-3.087150711999,0.000000000000
